STATUS,A-SIDE LOCODE,A-LOC:CAB:RU,A-SIDE-DNS-NAME,A-MODEL,A-PORT,"A-BREAKOUT
LOC:CAB:RU","A-BREAKOUT
SLOT:PORT",A-OPTIC,"A-PATCH-PANEL
LOC:CAB:RU:PORT",Z-SIDE LOCODE,Z-LOC:CAB:RU,Z-SIDE-DNS-NAME,Z-MODEL,Z-PORT,"Z-BREAKOUT
LOC:CAB:RU","Z-BREAKOUT
SLOT:PORT","Z-PATCH-PANEL
LOC:CAB:RU:PORT",Z-OPTIC,CABLE,IPv4-VRF-DEFAULT-10,IPv6-VRF-DEFAULT-10,IPv4-VRF-MGMT-20,IPv6-VRF-MGMT-20,IPv4-VRF-IPMI-30,IPv6-VRF-IPMI-30,IPv4-VRF-IPMI-31,IPv6-VRF-IPMI-31,IPv4-VRF-TSS-40,IPv6-VRF-TSS-40,IPv4-VRF-PUB-90,IPv6-VRF-PUB-90,IPv4-TNT-MSFT-101,IPv6-TNT-MSFT-101
C160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OOB-FIREWALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:10,oob-fw-01-r001-us-west-02b,PA-1420,eth1/21,,,SFP-BASE-10G-LR,,US-PHX01,,OOB DIA,,,,,,SFP-BASE-10G-LR,LC-TO-LC SMF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:28,dsr1-us-west-02b,7750-SR-1SE,1/1/c16,c160:001:26,1:4:1,QSFPDD-400G-DR4,,US-PHX01,c160:001:8,fip1-us-west-02b,NET-6X100G-01,ens1f1np1,,,,QSFP28-100G-DR1-LOW-PWR,LC-TO-LC SMF,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:28,dsr1-us-west-02b,7750-SR-1SE,1/1/c16,c160:001:26,1:4:2,QSFPDD-400G-DR4,,US-PHX01,c160:002:8,fip2-us-west-02b,NET-6X100G-01,ens1f1np1,,,,QSFP28-100G-DR1-LOW-PWR,LC-TO-LC SMF,,,,,,,,,,,,,,
Cable Not Run,US-PHX01,c160:001:28,dsr1-us-west-02b,7750-SR-1SE,1/1/c19,,,QSFPDD-400G-DR4,,US-PHX01,c160:001:38,dcr1-us-west-02b,NOKIA-7750-SR-1x48,1/1/c43,,,,,,,,,,,,,,,,,,,
Cable Not Run,US-PHX01,c160:001:28,dsr1-us-west-02b,7750-SR-1SE,1/1/c20,,,QSFPDD-400G-DR4,,US-PHX01,c160:002:38,dcr2-us-west-02b,NOKIA-7750-SR-1x48,1/1/c43,,,,,,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:28,dsr1-us-west-02b,7750-SR-1SE,1/1/c25,,,QSFPDD-400G-DR4,,US-PHX01,c160:002:28,dsr2-us-west-02b,7750-SR-1SE,1/1/c25,,,,QSFPDD-400G-DR4,MPO8-SMF,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:28,dsr1-us-west-02b,7750-SR-1SE,1/1/c26,,,QSFPDD-400G-DR4,,US-PHX01,c160:002:28,dsr2-us-west-02b,7750-SR-1SE,1/1/c26,,,,QSFPDD-400G-DR4,MPO8-SMF,,,,,,,,,,,,,,
Human Verified,US-PHX01,c160:001:28,dsr1-us-west-02b,7750-SR-1SE,1/1/c31,,,QSFP28-100G-LR4,,US-PHX01,c160:026:38,pp-ru-38-c160-r026-us-west-02b,Lumen 448332549 (US-LAX01),A2,,,,,,,,,,,,,,,,,,,
Cable Not Run,US-PHX01,c160:001:28,dsr1-us-west-02b,7750-SR-1SE,1/1/c32,,,QSFP28-100G-LR4,,US-PHX01,c160:026:38,pp-ru-38-c160-r026-us-west-02b,US-LAX01 Zayo OQYX/416131//ZYO,A6,,,,,,,,,,,,,,,,,,,
Cable Not Run,US-PHX01,c160:001:28,dsr1-us-west-02b,7750-SR-1SE,1/1/c33,,,QSFP28-100G-LR4,,US-PHX01,c160:026:38,pp-ru-38-c160-r026-us-west-02b,US-LAS02 Lumen 448332534,A7,,,,,,,,,,,,,,,,,,,
Cable Not Run,US-PHX01,c160:001:28,dsr1-us-west-02b,7750-SR-1SE,1/1/c34,,,QSFP28-100G-LR4,,US-PHX01,c160:026:38,pp-ru-38-c160-r026-us-west-02b,US-LAS02 Zayo OQYX/416036//ZYO,A8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:22,con-01-c160-r001-us-west-02b,OM2216-C14,1,,,,,US-PHX01,c160:001:28,dsr1-us-west-02b,NOKIA-7750-SR-1se,console,,,,,CAT6a,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:22,con-01-c160-r001-us-west-02b,OM2216-C14,2,,,,,US-PHX01,c160:001:20,net-01-c160-r001-us-west-02b,SN2201,console,,,,,CAT6a,,,,,,,,,,,,,,
