Circuit ,MMR A,<>,MMR Z,Cassette,Port,<>,151 A,Cassette,Port,<>,151 Z,Cassette,Port,<>,120 A,Cassette,Port,<>,120 Z,Cassette ,Port,<>,160 A,Cassette,Port,<>,Location,Nokia Port ,Notes 
XID0431/ 448926735,MMR ISP PP,<>,MMR164.R5.RU16,A,11/12,<>,DH151 CAB34 RU40,A,11/12,<>,,,,<>,dh120.266.38,D,7/8,<>,,B,7/8,<>,dh160.26.38,D,,<>,dh160.2.38,C20,
lumen/448338555  ,MMR ISP PP,<>,MMR164.R5.RU16,A,11/12,<>,DH151 CAB34 RU40 MMR,A,21/22,<>,,,,<>,DH120.R10.U43,C,21/22,<>,,A,17/18,<>,dh160.26.38,A,,<>,dh160.1.28,c35,
XID0465 / 449355683,,<>,MMR164.R5.RU16,A,13/14,<>,DH151.R34.RU4,,,<>,,,,,,,,<>,,,,,,,,<>,,,
XID0466 / 449355681,,<>,MMR164.R5.RU16,A,15/16,<>,DH151.R34.RU4,,,<>,,,,,,,,<>,,,,,,,,<>,,,
XID0467 / 449355664,,<>,MMR164.R5.RU16,A,17/18,<>,DH151.R34.RU4,,,<>,,,,,,,,<>,,,,,,,,<>,,,
XID0468 / 449355678,,<>,MMR164.R5.RU16,A,19/20,<>,DH151.R34.RU4,,,<>,,,,,,,,<>,,,,,,,,<>,,,
XID0469 / 449355677,,<>,MMR164.R5.RU16,A,21/22,<>,DH151.R34.RU4,,,<>,,,,,,,,<>,,,,,,,,<>,,,
XID0470 / 449355682,,<>,MMR164.R5.RU16,A,23/24,<>,DH151.R34.RU4,,,<>,,,,,,,,<>,,,,,,,,<>,,,
XID0471 / 449355680,,<>,MMR164.R5.RU16,B,1/2,<>,DH151.R34.RU4,,,<>,,,,,,,,<>,,,,,,,,<>,,,
XID0367 / 447874990,,<>,MMR164.R5.RU16,B,3/4,<>,DH151.R34.RU4,,,<>,,,,,,,,<>,,,,,,,,<>,,,
